,county,land_area,biome,tc_goal,treecanopy,tc_gap,priority_i,pctpocnorm,pctpovnorm,unemplnorm,dep_perc,depratnorm,health_nor,temp_norm,tes,tesctyscor,rank,rankgrpsz,Mean_Temp,Median_Temp,STD_Temp,Min_Temp,Max_Temp,Mean_Rain,Median_Rain,STD_Rain,Min_Rain,Max_Rain
664,Bexar County,0.6559,Grassland,0.3,0.4253,0.0,0.502200339134592,0.963350785340314,0.458007545119186,0.037511420338745,0.305759162303665,0.220211161387632,0.689938016938585,0.518897076301402,100,79.0,1,951,71.28,72.0,1.1691877522451206,69.6,72.2,23.012,22.2,7.944946192391739,12.85,34.98
665,Bexar County,1.0718,Grassland,0.3,0.4302,0.0,0.545626423692364,0.954407294832827,0.473185341576219,0.097506393861892,0.498480243161094,0.496969696969697,0.689938016938585,0.513667696695983,100,79.0,1,951,71.28,72.0,1.1691877522451206,69.6,72.2,23.012,22.2,7.944946192391739,12.85,34.98
666,Bexar County,2.0918,Grassland,0.3,0.3669,0.0,0.547563451833726,0.859820700896496,0.708789430104746,0.17552513667941,0.417277913610432,0.358041958041958,0.724178312154478,0.480389826479677,100,79.0,1,951,71.28,72.0,1.1691877522451206,69.6,72.2,23.012,22.2,7.944946192391739,12.85,34.98
667,Bexar County,2.7544,Grassland,0.3,0.3651,0.0,0.500112356512042,0.834126984126984,0.467991002122739,0.0,0.382539682539683,0.309768637532134,0.724178312154478,0.601616353696221,100,79.0,1,951,71.28,72.0,1.1691877522451206,69.6,72.2,23.012,22.2,7.944946192391739,12.85,34.98
668,Bexar County,0.7548,Grassland,0.3,0.1883,0.1117,0.596766332661357,0.936440677966102,0.564066671851103,0.16470215816621,0.628177966101695,0.844729344729345,0.564890469627516,0.749940575231757,74,79.0,665,951,71.28,72.0,1.1691877522451206,69.6,72.2,23.012,22.2,7.944946192391739,12.85,34.98
669,Bexar County,0.7086,Grassland,0.3,0.1789,0.1211,0.483996720463499,0.959420289855072,0.345589015206302,0.223935389133627,0.346859903381643,0.265532544378698,0.564890469627516,0.588305205609698,77,79.0,603,951,71.28,72.0,1.1691877522451206,69.6,72.2,23.012,22.2,7.944946192391739,12.85,34.98
670,Bexar County,3.0253,Grassland,0.3,0.2861,0.0139,0.481607467520008,0.848498233215548,0.558427708279195,0.0,0.372791519434629,0.297183098591549,0.564890469627516,0.66009032564773,97,79.0,317,951,71.28,72.0,1.1691877522451206,69.6,72.2,23.012,22.2,7.944946192391739,12.85,34.98
671,Bexar County,0.8577,Grassland,0.3,0.216,0.084,0.462351495105491,0.814176245210728,0.148790541522319,0.130074285657612,0.447637292464879,0.405202312138728,0.564890469627516,0.716187306869503,85,79.0,454,951,71.28,72.0,1.1691877522451206,69.6,72.2,23.012,22.2,7.944946192391739,12.85,34.98
672,Bexar County,4.4286,Grassland,0.3,0.2864,0.0136,0.437421373527851,0.894125242091672,0.087747036591762,0.047522982425927,0.394448030987734,0.325692963752665,0.412552655351215,0.650820061801759,97,79.0,317,951,71.28,72.0,1.1691877522451206,69.6,72.2,23.012,22.2,7.944946192391739,12.85,34.98
673,Bexar County,0.6319,Grassland,0.3,0.1147,0.1853,0.492247049210525,0.869932432432432,0.443653234072396,0.060747100230095,0.379222972972973,0.305442176870748,0.412552655351215,0.752555265034466,64,79.0,834,951,71.28,72.0,1.1691877522451206,69.6,72.2,23.012,22.2,7.944946192391739,12.85,34.98
674,Bexar County,0.5848,Grassland,0.3,0.1138,0.1862,0.467141093659191,0.579327945555083,0.392959720711703,0.230102707749766,0.32284134410889,0.238379396984925,0.412552655351215,0.796291894461612,66,79.0,806,951,71.28,72.0,1.1691877522451206,69.6,72.2,23.012,22.2,7.944946192391739,12.85,34.98
675,Bexar County,2.3104,Grassland,0.3,0.3011,0.0,0.479793646249248,0.822476879774829,0.312098082163284,0.264666438770412,0.424205870526739,0.368365921787709,0.412552655351215,0.567863085333967,100,79.0,1,951,71.28,72.0,1.1691877522451206,69.6,72.2,23.012,22.2,7.944946192391739,12.85,34.98
676,Bexar County,1.7865,Grassland,0.3,0.3085,0.0,0.502842140049616,0.917682926829268,0.380637099784171,0.015197947031417,0.420731707317073,0.363157894736842,0.635306402606654,0.414784882338959,100,79.0,1,951,71.28,72.0,1.1691877522451206,69.6,72.2,23.012,22.2,7.944946192391739,12.85,34.98
677,Bexar County,3.8868,Grassland,0.3,0.1918,0.1082,0.560177759037824,0.816223067173637,0.597994791467002,0.233002291825821,0.409378960709759,0.34656652360515,0.635306402606654,0.543617779890658,76,79.0,633,951,71.28,72.0,1.1691877522451206,69.6,72.2,23.012,22.2,7.944946192391739,12.85,34.98
678,Bexar County,0.819,Grassland,0.3,0.1711,0.1289,0.409978182579043,0.745341614906832,0.199494533559323,0.091443305150806,0.458740017746229,0.423770491803279,0.434380790928514,0.454242928452579,79,87.0,5,5,71.28,72.0,1.1691877522451206,69.6,72.2,23.012,22.2,7.944946192391739,12.85,34.98
679,Bexar County,0.4709,Grassland,0.3,0.2478,0.0522,0.422968974633308,0.529363110008271,0.196107371691687,0.026878166997136,0.626964433416046,0.840354767184035,0.434380790928514,0.422628951747088,91,87.0,2,5,71.28,72.0,1.1691877522451206,69.6,72.2,23.012,22.2,7.944946192391739,12.85,34.98
680,Bexar County,0.8993,Grassland,0.3,0.2043,0.0957,0.394436562769461,0.645360824742268,0.447703967714934,0.0,0.401030927835052,0.334767641996558,0.434380790928514,0.36558117423342,85,87.0,4,5,71.28,72.0,1.1691877522451206,69.6,72.2,23.012,22.2,7.944946192391739,12.85,34.98
681,Bexar County,0.5632,Grassland,0.3,0.1239,0.1761,0.567499900818221,0.880043620501636,0.805751637401315,0.208272363671837,0.517993456924755,0.537330316742081,0.540474292601477,0.460185405276919,61,79.0,867,951,71.28,72.0,1.1691877522451206,69.6,72.2,23.012,22.2,7.944946192391739,12.85,34.98
682,Bexar County,0.4261,Grassland,0.3,0.2421,0.0579,0.494571731302105,0.935871743486974,0.415745662982652,0.088817705299942,0.445891783567134,0.402350813743219,0.540474292601477,0.481578321844545,88,87.0,3,5,71.28,72.0,1.1691877522451206,69.6,72.2,23.012,22.2,7.944946192391739,12.85,34.98
683,Bexar County,3.202,Grassland,0.3,0.1002,0.1998,0.462055004333731,0.797180892717306,0.256489370515039,0.125475130950725,0.450274079874706,0.40954415954416,0.540474292601477,0.482766817209413,64,79.0,834,951,71.28,72.0,1.1691877522451206,69.6,72.2,23.012,22.2,7.944946192391739,12.85,34.98
684,Bexar County,1.0257,Grassland,0.3,0.1261,0.1739,0.424430940606066,0.869655172413793,0.254431826003166,0.071783534350379,0.320689655172414,0.236040609137056,0.386165312702054,0.591395293558355,71,79.0,728,951,71.28,72.0,1.1691877522451206,69.6,72.2,23.012,22.2,7.944946192391739,12.85,34.98
685,Bexar County,0.438,Grassland,0.3,0.1674,0.1326,0.410658287178623,0.952529452529452,0.220609370309969,0.070821961088842,0.288288288288288,0.20253164556962,0.386165312702054,0.469693368195864,79,79.0,566,951,71.28,72.0,1.1691877522451206,69.6,72.2,23.012,22.2,7.944946192391739,12.85,34.98
686,Bexar County,4.5112,Grassland,0.3,0.2055,0.0945,0.485150983866969,0.912794398472311,0.558140244018646,0.133624813354434,0.330999363462763,0.247383444338725,0.40827040038035,0.551461849298788,82,79.0,508,951,71.28,72.0,1.1691877522451206,69.6,72.2,23.012,22.2,7.944946192391739,12.85,34.98
